index,Job Title,Salary Estimate,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Job_country,Job_state,Company_Year,python_yn,visualization_yn,Excel_yn,analysis_yn,communication_yn,aws_yn
162,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
164,"Lead Data Scientist, Marketing Analytics",125496,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
165,"Data Scientist, Basketball Integrity",91252,3.9,"the NBA
",1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,New York, NY,76,0,0,0,0,0,0
166,VP - Data Scientist,116904,4.0,"Morgan Stanley
",10000+ Employees,1935,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Alpharetta, GA,87,0,0,0,0,0,0
168,"Data Scientist, Product Intelligence",144420,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
169,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
170,Senior Data Scientist (remote),156800,3.9,"Liberty Mutual Insurance
",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Remote,Remote,110,0,0,0,0,0,0
171,"Senior Data Scientist - Analytics, FinCrimes",130758,4.0,"Robinhood
",1001 to 5000 Employees,2013,Company - Public,Brokerage Services,Finance,Unknown / Non-Applicable,Menlo Park, CA,9,0,0,0,0,0,0
172,Data Scientist I,108578,3.3,"GEICO
",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),Chevy Chase, MD,86,1,1,0,1,0,0
173,Data Scientist - Intermediate,107163,4.1,"Bayer
",10000+ Employees,1863,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),San Francisco, CA,159,1,0,1,0,0,0
174,Data Scientist,111199,3.4,"Cerebral
",1001 to 5000 Employees,2020,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),San Francisco, CA,2,0,0,0,0,0,0
175,Data Scientist,121859,3.0,"Quantapore
",1 to 50 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),San Francisco, CA,13,1,0,0,1,0,0
176,Sr Data Scientist (USA Remote),102356,4.3,"Dell Technologies
",10000+ Employees,1984,Company - Public,IT Services,Information Technology,$10+ billion (USD),Round Rock, TX,38,0,0,0,0,0,0
177,"Staff (Lead) Data Scientist (Remote, United States)",109095,4.3,"Shopify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),Dallas, TX,16,0,0,0,0,0,0
178,Senior Data Analyst,97104,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
180,AWS Data Scientist,167500,3.8,"Amazon Web Services, Inc.
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Remote,Remote,28,1,0,0,0,1,1
181,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
183,"Data Scientist, Freemium Innovation",139731,4.3,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
184,"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)",150000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
185,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
186,"Senior Data Scientist - People and Organizational Performance, Org Analytics",125043,4.4,"McKinsey & Company
",10000+ Employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Atlanta, GA,96,0,0,0,0,0,0
187,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
188,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
189,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
191,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
192,Data Science Advisor (Express Scripts) - Evernorth,127700,3.8,"Cigna
",10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Saint Louis, MO,157,1,1,1,1,1,1
193,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
194,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
195,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
196,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Remote,Remote,23,0,0,0,0,0,0
197,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
198,"Lead Data Scientist, Marketing Analytics",125496,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
199,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
200,Sr. Data Scientist,134274,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
201,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
202,Senior Data Scientist,181500,4.0,"Charles Schwab
",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Lone Tree, CO,49,0,0,0,0,0,0
204,Lead Data Scientist,133311,4.5,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
205,Senior Data Analyst,97104,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
209,Senior Data Scientist (remote),156800,3.9,"Liberty Mutual Insurance
",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Remote,Remote,110,0,0,0,0,0,0
210,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
212,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
213,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
214,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
215,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
216,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
217,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Remote,Remote,23,0,0,0,0,0,0
218,"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)",150000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
219,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
220,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
221,Data Science Advisor (Express Scripts) - Evernorth,127700,3.8,"Cigna
",10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Saint Louis, MO,157,1,1,1,1,1,1
222,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
223,Data Science Manager - Communities & Servers,96438,4.4,"Discord
",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),San Francisco, CA,7,0,0,0,0,0,0
225,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
226,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
227,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
231,Sr. Data Scientist,134274,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
232,Senior Data Analyst,97104,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
233,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
234,Data Scientist,121859,3.0,"Quantapore
",1 to 50 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),San Francisco, CA,13,1,0,0,1,0,0
235,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
236,"Lead Data Scientist, Creator Marketing",150981,4.3,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
237,"Data Scientist, Product Intelligence",144420,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
238,"Data Scientist, Infrastructure",162533,4.1,"Pinterest
",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),San Francisco, CA,12,0,0,0,0,0,0
239,Data Scientist (University Graduate),151000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Remote,Remote,18,0,1,0,1,0,0
240,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
241,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.6,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
242,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
244,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
245,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Remote,Remote,23,0,0,0,0,0,0
246,"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)",150000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
247,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
248,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
249,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
251,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
253,Data Science Manager - Communities & Servers,96438,4.4,"Discord
",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),San Francisco, CA,7,0,0,0,0,0,0
254,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
255,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
256,"Data Scientist - Tiktok Ads, Growth Marketing",136562,4.3,"ByteDance
",10000+ Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,10,0,0,0,0,0,0
257,Data Scientist I,143696,3.8,"Amazon.com Services LLC
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Cupertino, CA,28,1,0,0,1,0,1
258,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
259,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
260,Data Science Advisor (Express Scripts) - Evernorth,127700,3.8,"Cigna
",10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Saint Louis, MO,157,1,1,1,1,1,1
262,"Data Scientist, Infrastructure",162533,4.1,"Pinterest
",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),San Francisco, CA,12,0,0,0,0,0,0
263,Data Scientist,111199,3.4,"Cerebral
",1001 to 5000 Employees,2020,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),San Francisco, CA,2,0,0,0,0,0,0
266,Data Scientist,121859,3.0,"Quantapore
",1 to 50 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),San Francisco, CA,13,1,0,0,1,0,0
268,Data Scientist (University Graduate),151000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Remote,Remote,18,0,1,0,1,0,0
269,Sr. Data Scientist,134274,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
270,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
271,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
272,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
273,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Remote,Remote,23,0,0,0,0,0,0
274,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
276,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
277,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
278,"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)",150000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
279,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
280,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
281,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
283,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
284,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
285,"Data Scientist - Tiktok Ads, Growth Marketing",136562,4.2,"ByteDance
",10000+ Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,10,0,0,0,0,0,0
286,Data Scientist I,143696,3.8,"Amazon.com Services LLC
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Cupertino, CA,28,1,0,0,1,0,1
287,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
289,"Data Scientist, Infrastructure",162533,4.1,"Pinterest
",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),San Francisco, CA,12,0,0,0,0,0,0
290,Data Scientist,111199,3.4,"Cerebral
",1001 to 5000 Employees,2020,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),San Francisco, CA,2,0,0,0,0,0,0
292,Data Scientist,121859,3.0,"Quantapore
",1 to 50 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),San Francisco, CA,13,1,0,0,1,0,0
295,Data Scientist,122631,4.4,"Denken Solutions Inc
",201 to 500 Employees,2010,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),San Francisco, CA,12,0,0,0,0,0,0
296,Senior Data Scientist - Ranking Team,180000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),San Francisco, CA,18,0,1,0,0,0,0
297,Data Scientist (University Graduate),151000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Remote,Remote,18,0,1,0,1,0,0
298,"Lead Data Scientist, Marketing Analytics",125496,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
299,Senior Data Scientist,181500,4.0,"Charles Schwab
",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Lone Tree, CO,49,0,0,0,0,0,0
300,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
301,AWS Data Scientist,167500,3.8,"Amazon Web Services, Inc.
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Remote,Remote,28,1,0,0,0,1,1
302,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
303,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
304,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Denver, CO,23,0,0,0,0,0,0
305,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
306,"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)",150000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
307,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
308,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
310,Principal Data Scientist - Engineering Analytics,170000,3.9,"Verizon
",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),Nevada,Nevada,22,0,1,0,1,1,0
311,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
312,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
313,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
314,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
316,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
317,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
320,"Data Scientist, Infrastructure",162533,4.1,"Pinterest
",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),San Francisco, CA,12,0,0,0,0,0,0
322,Data Scientist,121859,3.0,"Quantapore
",1 to 50 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),San Francisco, CA,13,1,0,0,1,0,0
323,Data Scientist,111199,3.4,"Cerebral
",1001 to 5000 Employees,2020,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),San Francisco, CA,2,0,0,0,0,0,0
324,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
326,Senior Data Scientist,181500,4.0,"Charles Schwab
",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Lone Tree, CO,49,0,0,0,0,0,0
327,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
328,"Data Scientist, Basketball Integrity",91252,3.9,"the NBA
",1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,New York, NY,76,0,0,0,0,0,0
329,Sr. Data Scientist,134274,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
