index,Job Title,Salary Estimate,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Job_country,Job_state,Company_Year,python_yn,visualization_yn,Excel_yn,analysis_yn,communication_yn,aws_yn
49,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Remote,Remote,23,0,0,0,0,0,0
50,Senior Data Scientist,181500,4.0,"Charles Schwab
",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Lone Tree, CO,49,0,0,0,0,0,0
51,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
53,Data Science Advisor (Express Scripts) - Evernorth,127700,3.8,"Cigna
",10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Saint Louis, MO,157,1,1,1,1,1,1
54,Senior Data Scientist,165000,3.0,"DispatchHealth
",1001 to 5000 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,San Francisco, CA,7,0,0,0,0,0,0
55,Sr Data Scientist,144552,3.9,"Dexcom
",5001 to 10000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),San Diego, CA,23,0,0,0,0,0,0
56,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
57,Statistician,108528,3.8,"US Customs and Border Protection
",10000+ Employees,1927,Government,Federal Agencies,Government,Unknown / Non-Applicable,Los Angeles, CA,95,0,0,0,0,0,0
58,Senior Data Scientist,93606,4.7,"MX Technologies Inc.
",501 to 1000 Employees,2010,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,Lehi, UT,12,0,0,0,0,0,0
59,Senior Data & Applied Scientist,130357,4.4,"Microsoft
",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Cambridge, MA,47,0,0,0,0,0,0
60,AWS Data Scientist,167500,3.8,"Amazon Web Services, Inc.
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Remote,Remote,28,1,0,0,0,1,1
61,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
62,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
63,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
64,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
65,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
66,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
67,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
68,Statistician,108528,3.8,"US Customs and Border Protection
",10000+ Employees,1927,Government,Federal Agencies,Government,Unknown / Non-Applicable,Los Angeles, CA,95,0,0,0,0,0,0
69,"Data Scientist, Freemium Innovation",139731,4.2,"Spotify
",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0
71,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
72,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
73,"Data Scientist, Marketing Science Research: Creative Shop",114330,4.3,"Meta
",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0
74,Senior Data Scientist,181500,4.0,"Charles Schwab
",10000+ Employees,1973,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Lone Tree, CO,49,0,0,0,0,0,0
75,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
76,Data Scientist,111199,3.4,"Cerebral
",1001 to 5000 Employees,2020,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),San Francisco, CA,2,0,0,0,0,0,0
77,"Data Scientist, Infrastructure",162533,4.1,"Pinterest
",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),San Francisco, CA,12,0,0,0,0,0,0
78,"Senior Data Scientist - People and Organizational Performance, Org Analytics",125043,4.4,"McKinsey & Company
",10000+ Employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Atlanta, GA,96,0,0,0,0,0,0
79,"Staff Data Scientist, Platform",150200,4.5,"Salesforce
",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Remote,Remote,23,0,0,0,0,0,0
80,Principal Data Scientist,154000,3.9,"Verizon
",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),Colorado,Colorado,22,0,0,0,0,1,0
81,Data Science Manager,115404,4.4,"Discord
",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),San Francisco, CA,7,0,0,0,0,0,0
82,Senior Data Scientist (remote),156800,3.9,"Liberty Mutual Insurance
",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Remote,Remote,110,0,0,0,0,0,0
84,"Data Scientist, Marketing Analytics",120445,3.8,"Publix
",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0
85,"Data Scientist, Product Intelligence",144420,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
86,Senior Data Scientist - Ranking Team,180000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),San Francisco, CA,18,0,1,0,0,0,0
87,Data Scientist (University Graduate),151000,4.4,"Indeed
",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Remote,Remote,18,0,1,0,1,0,0
88,Data Scientist I,108578,3.3,"GEICO
",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),Chevy Chase, MD,86,1,1,0,1,0,0
89,Sr Data Scientist (USA Remote),102356,4.3,"Dell Technologies
",10000+ Employees,1984,Company - Public,IT Services,Information Technology,$10+ billion (USD),Round Rock, TX,38,0,0,0,0,0,0
90,AWS Data Scientist,167500,3.8,"Amazon Web Services, Inc.
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Remote,Remote,28,1,0,0,0,1,1
92,"Staff Data Scientist, Platform",150200,4.6,"Slack
",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Denver, CO,8,0,0,0,0,0,0
93,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
94,Lead Data Scientist - Customer Data Science,153275,3.9,"Hulu
",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0
95,"Data Scientist - Tiktok Ads, Growth Marketing",147032,3.5,"TikTok
",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0
96,Data Scientist - Machine Learning,147696,4.0,"Twitch
",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,San Francisco, CA,11,0,0,0,0,0,0
97,Senior Data Analyst (Loyalty & Player Engagement),119944,4.0,"PlayStation Global
",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0
98,"Senior Data Scientist, Product Intelligence",150110,4.4,"Zoom Video Communications, Inc.
",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0
99,Data Science Manager - Communities & Servers,96438,4.4,"Discord
",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),San Francisco, CA,7,0,0,0,0,0,0
100,Data Science Advisor (Express Scripts) - Evernorth,127700,3.8,"Cigna
",10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Saint Louis, MO,157,1,1,1,1,1,1
101,Computer Engineer (Data Scientist),140014,3.5,"US Internal Revenue Service
",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Fresno, CA,160,0,0,0,0,0,0
102,Lead Data Scientist,133311,3.3,"Activision
",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0
103,"Data Scientist, Operations Data Science",95000,4.5,"Google
",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Mountain View, CA,24,1,0,0,0,0,0
